FromTableName,FromColumnName,ToTableName,ToColumnName,IsActive,Cardinality,CrossFilteringBehavior,FromKeyCount,ToKeyCount,RelyOnReferentialIntegrity
Processos de Pagamento,Empresa_proc,Empresas,Codigo_emp,1,M:1,Single,127.0,,0
Processos de Pagamento,DataCadastro,dCalendário,DATA,1,M:1,Single,1757.0,,0
Processos de Pagamento,DataPagamento,,,1,M:1,Single,2764.0,,0
Processos de Pagamento,User_Proc,Sócios,Login_usr,1,M:1,Single,341.0,,0
Consulta1,DtPagParc_Proc,,,1,M:1,Single,1372.0,,0
Consulta1,DataConfDt_Proc,,,1,M:1,Single,1485.0,,0
Consulta1,DataConfVl_Proc,,,1,M:1,Single,2032.0,,0
Consulta1,DataConfQdade_Proc,,,1,M:1,Single,2697.0,,0
Consulta1,DtDocFisc_Proc,,,1,M:1,Single,634.0,,0
Consulta1,DtEnvio_Proc,,,1,M:1,Single,30.0,,0
Consulta1,DataAprovEmissao_proc,,,1,M:1,Single,514.0,,0
Consulta1,DataInicioCorrecao_Proc,,,1,M:1,Single,3.0,,0
Consulta1,Data_Proc,,,1,M:1,Single,613.0,,0
Consulta1,Desc_emp,Empresas,Desc_Emp,1,M:1,Single,94.0,,0
Consulta1,DtVencParc_Proc,dCalendário,DATA,1,M:1,Single,1790.0,,0
0-DVQ,Dt. Prorrogação,,,1,M:1,Single,1296.0,,0
0-DVQ,Dt. Vencimento,,,1,M:1,Single,1697.0,,0
1-Emissão Pgto,Data Prorrogação,,,1,M:1,Single,34.0,,0
2-Medição Contrato,Dt. geração,,,1,M:1,Single,40.0,,0
3-Simulação de Cotação,Data,,,1,M:1,Single,39.0,,0
3-Simulação de Cotação,Vencimento,,,1,M:1,Single,34.0,,0
4-Confirmação Cotação,Dt. Vencimento,,,1,M:1,Single,8.0,,0
4-Confirmação Cotação,Quando,,,1,M:1,Single,8.0,,0
5-Contratos de Mat e Serv,Início,,,1,M:1,Single,339.0,,0
5-Contratos de Mat e Serv,Fim,,,1,M:1,Single,338.0,,0
7-Extra-Planejado,Data,,,1,M:1,Single,22.0,,0
Acomp Entrega,Compra,,,1,M:1,Single,183.0,,0
Acomp Entrega,Quando,,,1,M:1,Single,183.0,,0
Acomp Entrega,Data Prevista,,,1,M:1,Single,184.0,,0
Usuarios,DataCad_usr,,,1,M:1,Single,337.0,,0
Usuarios,DataAlt_usr,,,1,M:1,Single,216.0,,0
Usuarios Departamento,DataCad_usr,,,1,M:1,Single,336.0,,0
Usuarios Departamento,Data,,,1,M:1,Single,215.0,,0
Usuarios Departamento,Login,Usuarios,Login,1,M:1,Single,818.0,,0
Hieraquia,Líder de R.E,0-DVQ,LR,1,M:M,Both,,,0
Hieraquia,Líder de R.E,1-Emissão Pgto,LR,1,M:M,Both,,,0
Hieraquia,Líder de R.E,2-Medição Contrato,LR,1,M:M,Both,,,0
Hieraquia,Líder de R.E,3-Simulação de Cotação,LR,1,M:M,Both,,,0
Hieraquia,Líder de R.E,4-Confirmação Cotação,LR,1,M:M,Both,,,0
Hieraquia,Líder de R.E,5-Contratos de Mat e Serv,LR,1,M:M,Both,,,0
Hieraquia,Líder de R.E,6-Aprovação Pedido,LR,1,M:M,Both,,,0
Hieraquia,Líder de R.E,7-Extra-Planejado,LR,1,M:M,Both,,,0
Hieraquia,Líder de R.E,Acomp Entrega,LR,1,M:M,Both,,,0
Hieraquia,Líder de R.E,Emprendimentos Responsáveis UAU,Líder de R.E,1,M:M,Both,,,0
Emprendimentos Responsáveis UAU,Cliente Empreendedor,Usuarios,Cliente,1,M:M,Both,,,0
Usuarios,Login,Sócios,Login_usr,1,1:1,Both,818.0,1305.0,0
